Acc,Fault Type,RUL
15.876,1,0
-17.957,1,0
-7.6112,1,0
-0.89342,1,0
4.8097,1,0
10.666,1,0
20.185,1,0
-1.171,1,0
7.9446,1,0
6.9176,1,0
-12.019,1,0
-10.438,1,0
11.047,1,0
-1.7372,1,0
18.935,1,0
9.814,1,0
-4.2371,1,0
-28.712,1,0
-28.62,1,0
-4.9182,1,0
8.538,1,0
18.898,1,0
23.498,1,0
7.5485,1,0
-21.445,1,0
-33.093,1,0
-6.0652,1,0
-8.6688,1,0
38.769,1,0
27.279,1,0
0.46145,1,0
-21.449,1,0
-25.741,1,0
-21.12,1,0
10.919,1,0
27.334,1,0
20.976,1,0
7.9505,1,0
-4.2818,1,0
-32.705,1,0
-20.782,1,0
2.9048,1,0
28.222,1,0
32.076,1,0
13.976,1,0
-16.721,1,0
-46.607,1,0
-10.512,1,0
-1.7406,1,0
31.892,1,0
36.986,1,0
6.0447,1,0
-15.144,1,0
-32.402,1,0
-5.0125,1,0
-14.049,1,0
35.894,1,0
35.396,1,0
16.674,1,0
-16.035,1,0
-27.926,1,0
-23.758,1,0
-4.5742,1,0
26.138,1,0
-1.2921,1,0
24.933,1,0
14.701,1,0
-26.248,1,0
-12.107,1,0
-11.082,1,0
-9.156,1,0
14.959,1,0
18.978,1,0
2.5984,1,0
0.92208,1,0
-25.101,1,0
-9.9471,1,0
-4.7776,1,0
-12.538,1,0
14.192,1,0
9.3861,1,0
1.4203,1,0
1.421,1,0
0.63494,1,0
1.829,1,0
-3.7874,1,0
-5.6301,1,0
10.809,1,0
14.139,1,0
4.3516,1,0
-0.10393,1,0
-5.0739,1,0
-5.9873,1,0
5.4943,1,0
7.6858,1,0
15.294,1,0
15.803,1,0
7.611,1,0
2.2263,1,0
-19.063,1,0
-19.046,1,0
-2.4672,1,0
22.01,1,0
24.757,1,0
22.452,1,0
-21.426,1,0
-21.347,1,0
2.1872,1,0
1.6519,1,0
-0.99388,1,0
8.6098,1,0
9.6132,1,0
4.517,1,0
