Acc,Fault Type,RUL
0.00010085,0,20000
0.0005349,0,19999
0.00075192,0,19998
0.00054497,0,19997
0.00039764,0,19996
0.00058297,0,19995
0.00053346,0,19994
0.00062248,0,19993
0.00057564,0,19992
0.00052296,0,19991
0.00022005,0,19990
0.00029122,0,19989
2.49E-05,0,19988
0.00012998,0,19987
-0.00011922,0,19986
-6.43E-05,0,19985
-0.00041553,0,19984
-0.0002558,0,19983
-0.00016302,0,19982
-0.0003328,0,19981
-0.00048289,0,19980
-0.0003136,0,19979
-0.00057102,0,19978
-0.00016163,0,19977
-0.00027043,0,19976
-0.00021398,0,19975
-0.0003155,0,19974
1.89E-05,0,19973
-0.00028656,0,19972
-0.00025887,0,19971
-8.28E-05,0,19970
0.00020108,0,19969
7.51E-05,0,19968
0.00037517,0,19967
0.00017321,0,19966
0.00025355,0,19965
0.00041923,0,19964
0.00022676,0,19963
0.00039997,0,19962
0.00055922,0,19961
0.00041756,0,19960
4.24E-05,0,19959
9.34E-05,0,19958
1.84E-05,0,19957
-2.36E-05,0,19956
-0.0001774,0,19955
1.47E-06,0,19954
-0.00023347,0,19953
-4.57E-06,0,19952
-0.00031716,0,19951
-0.00039237,0,19950
1.06E-05,0,19949
-0.00021259,0,19948
-0.00010677,0,19947
-0.00011226,0,19946
3.19E-05,0,19945
0.00012597,0,19944
0.00032593,0,19943
0.00022564,0,19942
0.0002883,0,19941
8.96E-06,0,19940
-3.98E-05,0,19939
0.00021842,0,19938
0.00027896,0,19937
-5.40E-06,0,19936
2.38E-05,0,19935
4.94E-05,0,19934
-4.62E-05,0,19933
-8.33E-05,0,19932
-0.00012948,0,19931
6.22E-05,0,19930
-0.00013803,0,19929
-0.00020749,0,19928
-0.00028543,0,19927
-0.00012457,0,19926
-0.00017432,0,19925
-0.00025044,0,19924
-0.00019503,0,19923
1.40E-05,0,19922
0.00034082,0,19921
-3.54E-05,0,19920
0.00020718,0,19919
0.00026627,0,19918
0.00048168,0,19917
0.0004946,0,19916
0.00080812,0,19915
0.00040685,0,19914
0.00022151,0,19913
0.00035255,0,19912
0.00042804,0,19911
0.00030145,0,19910
0.00029693,0,19909
0.00019049,0,19908
7.06E-06,0,19907
-7.54E-05,0,19906
-0.00015724,0,19905
-0.00024854,0,19904
-0.00040317,0,19903
-0.00027944,0,19902
-0.00042364,0,19901
-0.00073185,0,19900
-0.00037295,0,19899
-0.00073198,0,19898
-0.00049514,0,19897
-0.00040171,0,19896
-0.0004638,0,19895
-0.00040191,0,19894
-0.00034876,0,19893
-5.70E-05,0,19892
-0.00016015,0,19891
8.13E-05,0,19890
9.09E-05,0,19889
0.00028728,0,19888
0.00025556,0,19887
0.00011572,0,19886
0.0005674,0,19885
0.00041435,0,19884
0.00064421,0,19883
0.00040826,0,19882
0.00051978,0,19881
0.00046488,0,19880
0.00021542,0,19879
0.00035509,0,19878
0.00021286,0,19877
0.00038412,0,19876
9.30E-05,0,19875
-7.92E-06,0,19874
-4.85E-05,0,19873
-0.00029143,0,19872
-0.00029369,0,19871
-0.00022805,0,19870
-0.0001576,0,19869
-2.64E-05,0,19868
-0.00053425,0,19867
-0.00046909,0,19866
-0.0002997,0,19865
-0.00022805,0,19864
-0.00015686,0,19863
-0.00050978,0,19862
1.33E-05,0,19861
-6.93E-05,0,19860
-9.48E-05,0,19859
5.69E-06,0,19858
0.00013712,0,19857
2.96E-05,0,19856
0.00018266,0,19855
0.00015323,0,19854
0.00023779,0,19853
0.0002982,0,19852
0.00025499,0,19851
6.07E-05,0,19850
0.00017779,0,19849
0.00021778,0,19848
0.00023803,0,19847
0.00021472,0,19846
0.00018177,0,19845
0.00023504,0,19844
-7.33E-05,0,19843
5.30E-05,0,19842
-0.00018889,0,19841
-0.00017389,0,19840
-0.00044808,0,19839
-0.00024548,0,19838
-0.00021786,0,19837
-0.00041378,0,19836
-0.00012561,0,19835
-0.00012196,0,19834
-6.97E-05,0,19833
0.00018268,0,19832
-0.00013962,0,19831
-8.08E-05,0,19830
1.08E-05,0,19829
0.00017709,0,19828
3.24E-05,0,19827
0.00022132,0,19826
0.00029686,0,19825
0.00024227,0,19824
0.00026283,0,19823
0.00026239,0,19822
0.00013102,0,19821
-4.73E-05,0,19820
0.00012564,0,19819
-6.28E-05,0,19818
-1.56E-05,0,19817
-0.00031379,0,19816
-0.00029804,0,19815
-6.36E-05,0,19814
-0.00035011,0,19813
-0.00028612,0,19812
-0.00042035,0,19811
-0.00029007,0,19810
-0.00055387,0,19809
-0.00047398,0,19808
-0.00024761,0,19807
-0.00031474,0,19806
-0.0002233,0,19805
-0.00019385,0,19804
2.93E-05,0,19803
2.14E-05,0,19802
5.81E-05,0,19801
0.0003072,0,19800
0.00045736,0,19799
0.00027544,0,19798
0.00054447,0,19797
0.00051066,0,19796
0.00041872,0,19795
0.00066061,0,19794
0.00043918,0,19793
0.0004143,0,19792
0.00013849,0,19791
0.00021045,0,19790
4.02E-05,0,19789
0.00011214,0,19788
6.21E-05,0,19787
-9.55E-05,0,19786
-0.00020375,0,19785
-0.00049357,0,19784
-0.00033416,0,19783
-0.00054172,0,19782
-0.00052994,0,19781
-0.0005219,0,19780
-0.00056964,0,19779
-0.00034355,0,19778
-0.00051476,0,19777
-0.0004983,0,19776
-0.00037482,0,19775
-0.00032509,0,19774
-0.00015644,0,19773
-0.00017117,0,19772
-5.65E-06,0,19771
0.00015101,0,19770
0.00024791,0,19769
9.89E-05,0,19768
0.00026819,0,19767
0.00037739,0,19766
0.00047872,0,19765
0.00035685,0,19764
0.00056972,0,19763
0.00055018,0,19762
0.00055557,0,19761
0.00034791,0,19760
7.06E-05,0,19759
0.00012922,0,19758
0.00017542,0,19757
9.74E-05,0,19756
7.91E-05,0,19755
1.71E-05,0,19754
0.00010951,0,19753
-0.00012094,0,19752
6.53E-05,0,19751
-0.00018204,0,19750
-0.00018824,0,19749
-9.58E-05,0,19748
-0.00022582,0,19747
-0.00020865,0,19746
1.94E-05,0,19745
-0.00013384,0,19744
-0.00017431,0,19743
-0.00012911,0,19742
8.17E-06,0,19741
4.64E-05,0,19740
-6.76E-05,0,19739
-5.96E-05,0,19738
0.00028657,0,19737
-5.41E-05,0,19736
-0.0001828,0,19735
7.47E-05,0,19734
-3.57E-05,0,19733
9.37E-06,0,19732
-0.00010534,0,19731
9.05E-05,0,19730
-0.00038437,0,19729
-3.39E-06,0,19728
-0.00044777,0,19727
-0.00022734,0,19726
-0.00016204,0,19725
3.05E-05,0,19724
-0.00016014,0,19723
-0.00014132,0,19722
9.86E-05,0,19721
-0.00017869,0,19720
-3.45E-05,0,19719
0.0001928,0,19718
0.00022279,0,19717
-3.96E-05,0,19716
6.08E-05,0,19715
0.00012756,0,19714
0.00014718,0,19713
0.00030072,0,19712
0.00028626,0,19711
5.89E-05,0,19710
0.0002479,0,19709
0.00037824,0,19708
1.50E-06,0,19707
-2.94E-05,0,19706
3.07E-05,0,19705
-0.00026826,0,19704
-0.00022873,0,19703
-3.85E-06,0,19702
-6.39E-05,0,19701
1.55E-05,0,19700
-0.0001463,0,19699
-0.00031898,0,19698
-3.81E-05,0,19697
-0.00018298,0,19696
8.16E-06,0,19695
-0.00012274,0,19694
-0.00012671,0,19693
0.00015828,0,19692
0.00011958,0,19691
-7.70E-05,0,19690
-7.25E-05,0,19689
0.0002327,0,19688
6.96E-05,0,19687
0.00020301,0,19686
0.00012313,0,19685
0.00011665,0,19684
-4.13E-05,0,19683
8.60E-06,0,19682
-5.71E-05,0,19681
0.00012703,0,19680
0.00012592,0,19679
1.83E-05,0,19678
-0.00028216,0,19677
-0.00043091,0,19676
